[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-19-16-50-328228-pro-60523
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [60548]
[INFO] [teleop_node-2]: process started with pid [60550]
[INFO] [driver-3]: process started with pid [60552]
[INFO] [sonar_array-4]: process started with pid [60554]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [60564]
[teleop_node-2] [INFO] [1716146211.141790621] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716146211.141997945] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716146211.142034036] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716146211.286629385] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716146243.875735883] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.895657451] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.904935636] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.924174216] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.933707964] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.954484661] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.963955115] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.984496749] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.994501957] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.014704088] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.023924591] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.045948031] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.055095704] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.074870613] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.084435990] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.104247361] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.113432291] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.133379489] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.142370595] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.186301981] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.203364954] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.212153957] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.231143309] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.241814377] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.262920136] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.272010607] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.290387393] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.299376165] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.317444335] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.326911049] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.347925645] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.358570807] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.376757453] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.385829499] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.405415584] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.414302323] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.433864742] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.442958436] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146244.463499330] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
